EM02_Alarms.Gearing_Not_Working 			| Gearing is Not Working		| EM02_Alarms.Equipment_Identifier	
EM01_Alarms.Path_Motor[3].Motor_Upstream_Link_Down	| Path: 03 Motor: 	| EM03_Alarms.Path_Motor[3].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[3].Motor_Downstream_Link_Down	| Path: 03 Motor: 	| EM03_Alarms.Path_Motor[3].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[3].Motor_Fault			| Path: 03 Motor: 	| EM03_Alarms.Path_Motor[3].Motor_Number	| CartePlus_Comms]EM03_Alarms.Path_Motor[3].Fault_Message
EM01_Alarms.Path_Motor[4].Motor_Upstream_Link_Down	| Path: 04 Motor: 	| EM04_Alarms.Path_Motor[4].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[4].Motor_Downstream_Link_Down	| Path: 04 Motor: 	| EM04_Alarms.Path_Motor[4].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[4].Motor_Fault			| Path: 04 Motor: 	| EM04_Alarms.Path_Motor[4].Motor_Number	| CartePlus_Comms]EM04_Alarms.Path_Motor[4].Fault_Message
EM01_Alarms.Path_Motor[5].Motor_Upstream_Link_Down	| Path: 05 Motor: 	| EM05_Alarms.Path_Motor[5].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[5].Motor_Downstream_Link_Down	| Path: 05 Motor: 	| EM05_Alarms.Path_Motor[5].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[5].Motor_Fault			| Path: 05 Motor: 	| EM05_Alarms.Path_Motor[5].Motor_Number	| CartePlus_Comms]EM05_Alarms.Path_Motor[5].Fault_Message
EM01_Alarms.Path_Motor[6].Motor_Upstream_Link_Down	| Path: 06 Motor: 	| EM06_Alarms.Path_Motor[6].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[6].Motor_Downstream_Link_Down	| Path: 06 Motor: 	| EM06_Alarms.Path_Motor[6].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[6].Motor_Fault			| Path: 06 Motor: 	| EM06_Alarms.Path_Motor[6].Motor_Number	| CartePlus_Comms]EM06_Alarms.Path_Motor[6].Fault_Message
EM01_Alarms.Path_Motor[7].Motor_Upstream_Link_Down	| Path: 07 Motor: 	| EM07_Alarms.Path_Motor[7].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[7].Motor_Downstream_Link_Down	| Path: 07 Motor: 	| EM07_Alarms.Path_Motor[7].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[7].Motor_Fault			| Path: 07 Motor: 	| EM07_Alarms.Path_Motor[7].Motor_Number	| CartePlus_Comms]EM07_Alarms.Path_Motor[7].Fault_Message
EM01_Alarms.Path_Motor[8].Motor_Upstream_Link_Down	| Path: 08 Motor: 	| EM08_Alarms.Path_Motor[8].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[8].Motor_Downstream_Link_Down	| Path: 08 Motor: 	| EM08_Alarms.Path_Motor[8].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[8].Motor_Fault			| Path: 08 Motor: 	| EM08_Alarms.Path_Motor[8].Motor_Number	| CartePlus_Comms]EM08_Alarms.Path_Motor[8].Fault_Message
EM01_Alarms.Path_Motor[9].Motor_Upstream_Link_Down	| Path: 09 Motor: 	| EM09_Alarms.Path_Motor[9].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[9].Motor_Downstream_Link_Down	| Path: 09 Motor: 	| EM09_Alarms.Path_Motor[9].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[9].Motor_Fault			| Path: 09 Motor: 	| EM09_Alarms.Path_Motor[9].Motor_Number	| CartePlus_Comms]EM09_Alarms.Path_Motor[9].Fault_Message
EM01_Alarms.Path_Motor[10].Motor_Upstream_Link_Down	| Path: 010 Motor: 	| EM010_Alarms.Path_Motor[10].Motor_Number	| UpStream Link Down
EM01_Alarms.Path_Motor[10].Motor_Downstream_Link_Down	| Path: 010 Motor: 	| EM010_Alarms.Path_Motor[10].Motor_Number	| DownStream Link Down
EM01_Alarms.Path_Motor[10].Motor_Fault			| Path: 010 Motor: 	| EM010_Alarms.Path_Motor[10].Motor_Number	| CartePlus_Comms]EM010_Alarms.Path_Motor[10].Fault_Message



EM13_Bot_Alarm.X_Axis.Position_limit
EM13_Bot_Alarm.X_Axis.CCW_limit
EM13_Bot_Alarm.X_Axis.CW_limit
EM13_Bot_Alarm.X_Axis.Over_temp
EM13_Bot_Alarm.X_Axis.Excess_Regen
EM13_Bot_Alarm.X_Axis.Over_voltage
EM13_Bot_Alarm.X_Axis.Under_voltage
EM13_Bot_Alarm.X_Axis.Over_current
EM13_Bot_Alarm.X_Axis.Open_motor_windings
EM13_Bot_Alarm.X_Axis.Bad_Encoder
EM13_Bot_Alarm.X_Axis.Comm_err
EM13_Bot_Alarm.X_Axis.Bad_Flash
EM13_Bot_Alarm.X_Axis.No_Move
EM13_Bot_Alarm.X_Axis.Blank_Q_Segment
EM13_Bot_Alarm.X_Axis.General_Fault
EM13_Bot_Alarm.Y_Axis_1.Position_limit
EM13_Bot_Alarm.Y_Axis_1.CCW_limit
EM13_Bot_Alarm.Y_Axis_1.CW_limit
EM13_Bot_Alarm.Y_Axis_1.Over_temp
EM13_Bot_Alarm.Y_Axis_1.Excess_Regen
EM13_Bot_Alarm.Y_Axis_1.Over_voltage
EM13_Bot_Alarm.Y_Axis_1.Under_voltage
EM13_Bot_Alarm.Y_Axis_1.Over_current
EM13_Bot_Alarm.Y_Axis_1.Open_motor_windings
EM13_Bot_Alarm.Y_Axis_1.Bad_Encoder
EM13_Bot_Alarm.Y_Axis_1.Comm_err
EM13_Bot_Alarm.Y_Axis_1.Bad_Flash
EM13_Bot_Alarm.Y_Axis_1.No_Move
EM13_Bot_Alarm.Y_Axis_1.Blank_Q_Segment
EM13_Bot_Alarm.Y_Axis_1.General_Fault
EM13_Bot_Alarm.Y_Axis_2.Position_limit
EM13_Bot_Alarm.Y_Axis_2.CCW_limit
EM13_Bot_Alarm.Y_Axis_2.CW_limit
EM13_Bot_Alarm.Y_Axis_2.Over_temp
EM13_Bot_Alarm.Y_Axis_2.Excess_Regen
EM13_Bot_Alarm.Y_Axis_2.Over_voltage
EM13_Bot_Alarm.Y_Axis_2.Under_voltage
EM13_Bot_Alarm.Y_Axis_2.Over_current
EM13_Bot_Alarm.Y_Axis_2.Open_motor_windings
EM13_Bot_Alarm.Y_Axis_2.Bad_Encoder
EM13_Bot_Alarm.Y_Axis_2.Comm_err
EM13_Bot_Alarm.Y_Axis_2.Bad_Flash
EM13_Bot_Alarm.Y_Axis_2.No_Move
EM13_Bot_Alarm.Y_Axis_2.Blank_Q_Segment
EM13_Bot_Alarm.Y_Axis_2.General_Fault
EM13_Bot_Alarm.Z_Axis.Position_limit
EM13_Bot_Alarm.Z_Axis.CCW_limit
EM13_Bot_Alarm.Z_Axis.CW_limit
EM13_Bot_Alarm.Z_Axis.Over_temp
EM13_Bot_Alarm.Z_Axis.Excess_Regen
EM13_Bot_Alarm.Z_Axis.Over_voltage
EM13_Bot_Alarm.Z_Axis.Under_voltage
EM13_Bot_Alarm.Z_Axis.Over_current
EM13_Bot_Alarm.Z_Axis.Open_motor_windings
EM13_Bot_Alarm.Z_Axis.Bad_Encoder
EM13_Bot_Alarm.Z_Axis.Comm_err
EM13_Bot_Alarm.Z_Axis.Bad_Flash
EM13_Bot_Alarm.Z_Axis.No_Move
EM13_Bot_Alarm.Z_Axis.Blank_Q_Segment
EM13_Bot_Alarm.Z_Axis.General_Fault
EM13_Bot_Alarm.Auto_Sequence_fault
EM13_Bot_Alarm.X_axis.Belt_Slip
EM13_Bot_Alarm.Y_axis_1.Belt_Slip
EM13_Bot_Alarm.Y_axis_2.Belt_Slip
EM13_Bot_Alarm.Z_axis.Belt_Slip


EM20_Sequence_Alarm.Astar_Timeout
EM20_Sequence_Alarm.Retrieve_Response_From_ForkBot_TimedOut
EM20_Sequence_Alarm.Store_Response_From_ForkBot_TimedOut
EM20_Sequence_Alarm.Obstructed_For_Long_Time
EM20_Sequence_Alarm.ASRS_Sequence_Fault_Check_PLC


EM21_Sequence_Alarm.Astar_Timeout
EM21_Sequence_Alarm.Retrieve_Response_From_ForkBot_TimedOut
EM21_Sequence_Alarm.Store_Response_From_ForkBot_TimedOut
EM21_Sequence_Alarm.Obstructed_For_Long_Time
EM21_Sequence_Alarm.ASRS_Sequence_Fault_Check_PLC


EM22_Sequence_Alarm.Astar_Timeout
EM22_Sequence_Alarm.Retrieve_Response_From_ForkBot_TimedOut
EM22_Sequence_Alarm.Store_Response_From_ForkBot_TimedOut
EM22_Sequence_Alarm.Obstructed_For_Long_Time
EM22_Sequence_Alarm.ASRS_Sequence_Fault_Check_PLC


EM23_Sequence_Alarm.Astar_Timeout
EM23_Sequence_Alarm.Retrieve_Response_From_ForkBot_TimedOut
EM23_Sequence_Alarm.Store_Response_From_ForkBot_TimedOut
EM23_Sequence_Alarm.Obstructed_For_Long_Time
EM23_Sequence_Alarm.ASRS_Sequence_Fault_Check_PLC


EM10_Bot_Alarm.X_axis.Message_Fault
EM10_Bot_Alarm.X_axis.Torque_Limit
EM10_Bot_Alarm.Y_axis_1.Message_Fault
EM10_Bot_Alarm.Y_axis_1.Torque_Limit
EM10_Bot_Alarm.Y_axis_2.Message_Fault
EM10_Bot_Alarm.Y_axis_2.Torque_Limit
EM10_Bot_Alarm.Z_axis.Message_Fault
EM10_Bot_Alarm.Z_axis.Torque_Limit
EM10_Bot_Alarm.Auto_Home_Flt
EM10_Bot_Alarm.PLC_Comms_Flt | EM10 PLC_Comms_Flt Bot Alarms
EM10_Bot_Alarm.Y_axis_Message_Flt


EM11_Bot_Alarm.Auto_Home_Flt
EM11_Bot_Alarm.PLC_Comms_Flt | Alfha PLC Communication Fault
EM11_Bot_Alarm.Y_axis_Message_Flt
EM11_Bot_Alarm.X_axis.Message_Fault
EM11_Bot_Alarm.X_axis.Torque_Limit
EM11_Bot_Alarm.Y_axis_1.Message_Fault
EM11_Bot_Alarm.Y_axis_1.Torque_Limit
EM11_Bot_Alarm.Y_axis_2.Message_Fault
EM11_Bot_Alarm.Y_axis_2.Torque_Limit
EM11_Bot_Alarm.Z_axis.Message_Fault
EM11_Bot_Alarm.Z_axis.Torque_Limit


EM12_Bot_Alarm.Auto_Home_Flt
EM12_Bot_Alarm.PLC_Comms_Flt
EM12_Bot_Alarm.Y_axis_Message_Flt
EM12_Bot_Alarm.X_axis.Message_Fault
EM12_Bot_Alarm.X_axis.Torque_Limit
EM12_Bot_Alarm.Y_axis_1.Message_Fault
EM12_Bot_Alarm.Y_axis_1.Torque_Limit
EM12_Bot_Alarm.Y_axis_2.Message_Fault
EM12_Bot_Alarm.Y_axis_2.Torque_Limit
EM12_Bot_Alarm.Z_axis.Message_Fault
EM12_Bot_Alarm.Z_axis.Torque_Limit


EM13_Bot_Alarm.Auto_Home_Flt
EM13_Bot_Alarm.PLC_Comms_Flt
EM13_Bot_Alarm.Y_axis_Message_Flt
EM13_Bot_Alarm.X_axis.Message_Fault
EM13_Bot_Alarm.X_axis.Torque_Limit
EM13_Bot_Alarm.Y_axis_1.Message_Fault
EM13_Bot_Alarm.Y_axis_1.Torque_Limit
EM13_Bot_Alarm.Y_axis_2.Message_Fault
EM13_Bot_Alarm.Y_axis_2.Torque_Limit
EM13_Bot_Alarm.Z_axis.Message_Fault
EM13_Bot_Alarm.Z_axis.Torque_Limit


A_HMI_comms_fault 										| HMI comms Fault
A_mode_fault 											| Mode Fault
Control_off
Push_Button.Line_emergency_stop_1 								| Line_emergency_stop_1
Push_Button.Line_emergency_stop_2 								| Line_emergency_stop_2
Push_Button.Line_emergency_stop_3 								| Line_emergency_stop_3
Push_Button.Line_emergency_stop_4 								| Line_emergency_stop_4
Push_Button.Emergency_Stop


EM02_Alarms.Lift_down_end_limit_reached

EM02_Alarms.Lift_up_end_limit_reached
EM03_Alarms.Lift_down_end_limit_reached
EM03_Alarms.Lift_up_end_limit_reached
EM02_Alarms.Indexer_Command_Failed
EM02_Alarms.Lift_Command_Failed
EM03_Alarms.Indexer_Command_Failed
EM03_Alarms.Lift_Command_Failed


A_RHS_RIO_fault 									| A_RHS_RIO_fault
A_LHS_RIO_fault 									| A_LHS_RIO_fault
A_Barcode_scan_flt 									| Barcode scan Fault 
